"Isolation","Trait_A","Trait_B","Observed_NN","Percent_NN"
"Pathogenic","Glucose_F","Galactose_F",20,0.583
"Pathogenic","Glucose_F","Sucrose_F",19,0.362
"Pathogenic","Glucose_F","Maltose_F",21,0.556
"Pathogenic","Glucose_F","Lactose_F",23,0.665
"Pathogenic","Glucose_F","Raffinose_F",21,0.552
"Pathogenic","Glucose_F","Trehalose_F",18,0.278
"Pathogenic","Glucose_F","Glucose",0,1
"Pathogenic","Glucose_F","Inulin",22,0.639
"Pathogenic","Glucose_F","Sucrose",14,0.325
"Pathogenic","Glucose_F","Raffinose",16,0.296
"Pathogenic","Glucose_F","Melibiose",19,0.396
"Pathogenic","Glucose_F","Galactose",6,0.37
"Pathogenic","Glucose_F","Lactose",19,0.25
"Pathogenic","Glucose_F","Trehalose",8,0.021
"Pathogenic","Glucose_F","Maltose",13,0.175
"Pathogenic","Glucose_F","Melezitose",15,0.204
"Pathogenic","Glucose_F","Methyl-?-D-glucoside",17,0.537
"Pathogenic","Glucose_F","Soluble Starch",18,0.478
"Pathogenic","Glucose_F","Cellobiose",8,0.074
"Pathogenic","Glucose_F","Salicin",8,0.1
"Pathogenic","Glucose_F","L-Sorbose",7,0.339
"Pathogenic","Glucose_F","L-Rhamnose",15,0.119
"Pathogenic","Glucose_F","D-Xylose",8,0.349
"Pathogenic","Glucose_F","L-Arabinose",12,0.088
"Pathogenic","Glucose_F","D-Arabinose",17,0.492
"Pathogenic","Glucose_F","D-Ribose",12,0.081
"Pathogenic","Glucose_F","Methanol",23,0.826
"Pathogenic","Glucose_F","Ethanol",4,0.55
"Pathogenic","Glucose_F","Glycerol",2,0.55
"Pathogenic","Glucose_F","Erythritol",13,0.11
"Pathogenic","Glucose_F","Ribitol",8,0.204
"Pathogenic","Glucose_F","Galactitol",19,0.435
"Pathogenic","Glucose_F","D-Mannitol",6,0.499
"Pathogenic","Glucose_F","D-Glucitol",3,0.146
"Pathogenic","Glucose_F","myo-Inositol",22,0.866
"Pathogenic","Glucose_F","DL-Lactate",13,0.963
"Pathogenic","Glucose_F","Succinate",2,0.364
"Pathogenic","Glucose_F","Citrate",6,0.311
"Pathogenic","Glucose_F","D-Gluconate",4,0.002
"Pathogenic","Glucose_F","D-Glucosamine",13,0.08
"Pathogenic","Glucose_F","Nitrate",22,0.715
"Pathogenic","Glucose_F","Vitamin-free",17,0.386
"Pathogenic","Glucose_F","2-Keto-D-gluconate",10,0.072
"Pathogenic","Glucose_F","Starch formation",23,0.902
"Pathogenic","Glucose_F","Growth at 19°C",0,0.399
"Pathogenic","Glucose_F","Growth at 25°C",0,0.91
"Pathogenic","Glucose_F","Growth at 30°C",3,0.975
"Pathogenic","Glucose_F","Growth at 37°C",0,0
"Pathogenic","Galactose_F","Sucrose_F",19,0
"Pathogenic","Galactose_F","Maltose_F",21,0
"Pathogenic","Galactose_F","Lactose_F",23,0
"Pathogenic","Galactose_F","Raffinose_F",21,0
"Pathogenic","Galactose_F","Trehalose_F",18,0
"Pathogenic","Galactose_F","Glucose",0,1
"Pathogenic","Galactose_F","Inulin",22,0
"Pathogenic","Galactose_F","Sucrose",14,0
"Pathogenic","Galactose_F","Raffinose",16,0
"Pathogenic","Galactose_F","Melibiose",19,0
"Pathogenic","Galactose_F","Galactose",6,0
"Pathogenic","Galactose_F","Lactose",19,0
"Pathogenic","Galactose_F","Trehalose",8,0
