"Isolation","Trait_A","Trait_B","Observed_PP","Percent_PP"
"0","0","0",0,0
"Pathogenic","Glucose_F","Glucose",68,0.634
"Pathogenic","Glucose_F","Growth at 25°C",68,0.656
"Pathogenic","Glucose_F","Growth at 37°C",54,0.996
"Pathogenic","Galactose_F","Glucose",31,0.449
"Pathogenic","Galactose_F","Growth at 25°C",31,0.457
"Pathogenic","Galactose_F","Growth at 37°C",27,0.859
"Pathogenic","Sucrose_F","Glucose",30,0.582
"Pathogenic","Sucrose_F","Growth at 25°C",30,0.589
"Pathogenic","Sucrose_F","Growth at 37°C",25,0.821
"Pathogenic","Maltose_F","Glucose",22,0.468
"Pathogenic","Maltose_F","Growth at 25°C",22,0.477
"Pathogenic","Maltose_F","Growth at 37°C",19,0.732
"Pathogenic","Lactose_F","Glucose",1,0.342
"Pathogenic","Lactose_F","Growth at 25°C",1,0.343
"Pathogenic","Lactose_F","Growth at 37°C",0,0.326
"Pathogenic","Raffinose_F","Glucose",20,0.511
"Pathogenic","Raffinose_F","Growth at 25°C",20,0.523
"Pathogenic","Raffinose_F","Growth at 37°C",17,0.747
"Pathogenic","Trehalose_F","Glucose",31,0.519
"Pathogenic","Trehalose_F","Growth at 25°C",31,0.528
"Pathogenic","Trehalose_F","Growth at 37°C",25,0.785
"Pathogenic","Glucose","Inulin",11,0.281
"Pathogenic","Glucose","Sucrose",49,0.283
"Pathogenic","Glucose","Raffinose",32,0.555
"Pathogenic","Glucose","Melibiose",14,0.465
"Pathogenic","Glucose","Galactose",62,0.636
"Pathogenic","Glucose","Lactose",13,0.499
"Pathogenic","Glucose","Trehalose",58,0.398
"Pathogenic","Glucose","Maltose",49,0.431
"Pathogenic","Glucose","Melezitose",44,0.552
"Pathogenic","Glucose","Methyl-?-D-glucoside",44,0.512
"Pathogenic","Glucose","Soluble Starch",30,0.66
"Pathogenic","Glucose","Cellobiose",53,0.344
"Pathogenic","Glucose","Salicin",53,0.368
"Pathogenic","Glucose","L-Sorbose",52,0.618
"Pathogenic","Glucose","L-Rhamnose",28,0.756
"Pathogenic","Glucose","D-Xylose",62,0.559
"Pathogenic","Glucose","L-Arabinose",41,0.757
"Pathogenic","Glucose","D-Arabinose",29,0.459
"Pathogenic","Glucose","D-Ribose",42,0.593
"Pathogenic","Glucose","Methanol",5,0.415
"Pathogenic","Glucose","Ethanol",79,0.696
"Pathogenic","Glucose","Glycerol",80,0.749
"Pathogenic","Glucose","Erythritol",28,0.565
"Pathogenic","Glucose","Ribitol",55,0.53
"Pathogenic","Glucose","Galactitol",17,0.697
"Pathogenic","Glucose","D-Mannitol",67,0.314
"Pathogenic","Glucose","D-Glucitol",70,0.541
"Pathogenic","Glucose","myo-Inositol",9,0.54
"Pathogenic","Glucose","DL-Lactate",50,0.759
"Pathogenic","Glucose","Succinate",79,0.832
"Pathogenic","Glucose","Citrate",66,0.888
"Pathogenic","Glucose","D-Gluconate",63,0.895
"Pathogenic","Glucose","D-Glucosamine",38,0.59
"Pathogenic","Glucose","Nitrate",11,0.136
"Pathogenic","Glucose","Vitamin-free",19,0.415
"Pathogenic","Glucose","2-Keto-D-gluconate",46,0.676
"Pathogenic","Glucose","Starch formation",6,0.21
"Pathogenic","Glucose","Growth at 19°C",85,0.724
"Pathogenic","Glucose","Growth at 25°C",90,1
"Pathogenic","Glucose","Growth at 30°C",87,0.94
"Pathogenic","Glucose","Growth at 37°C",66,1
"Pathogenic","Inulin","Growth at 25°C",11,0.284
"Pathogenic","Inulin","Growth at 37°C",9,0.448
"Pathogenic","Sucrose","Growth at 25°C",49,0.299
"Pathogenic","Sucrose","Growth at 37°C",39,0.781
"Pathogenic","Raffinose","Growth at 25°C",32,0.569
"Pathogenic","Raffinose","Growth at 37°C",24,0.658
"Pathogenic","Melibiose","Growth at 25°C",14,0.471
"Pathogenic","Melibiose","Growth at 37°C",9,0.348
"Pathogenic","Galactose","Growth at 25°C",62,0.658
"Pathogenic","Galactose","Growth at 37°C",44,0.877
"Pathogenic","Lactose","Growth at 25°C",13,0.504
"Pathogenic","Lactose","Growth at 37°C",8,0.324
"Pathogenic","Trehalose","Growth at 25°C",58,0.415
"Pathogenic","Trehalose","Growth at 37°C",42,0.772
"Pathogenic","Maltose","Growth at 25°C",49,0.452
"Pathogenic","Maltose","Growth at 37°C",38,0.786
"Pathogenic","Melezitose","Growth at 25°C",44,0.563
"Pathogenic","Melezitose","Growth at 37°C",35,0.824
"Pathogenic","Methyl-?-D-glucoside","Growth at 25°C",44,0.525
"Pathogenic","Methyl-?-D-glucoside","Growth at 37°C",37,0.916
"Pathogenic","Soluble Starch","Growth at 25°C",30,0.666
"Pathogenic","Soluble Starch","Growth at 37°C",24,0.806
"Pathogenic","Cellobiose","Growth at 25°C",53,0.366
"Pathogenic","Cellobiose","Growth at 37°C",37,0.67
"Pathogenic","Salicin","Growth at 25°C",53,0.39
"Pathogenic","Salicin","Growth at 37°C",37,0.667
"Pathogenic","L-Sorbose","Growth at 25°C",52,0.638
"Pathogenic","L-Sorbose","Growth at 37°C",35,0.72
"Pathogenic","L-Rhamnose","Growth at 25°C",28,0.766
"Pathogenic","L-Rhamnose","Growth at 37°C",19,0.618
"Pathogenic","D-Xylose","Growth at 25°C",62,0.587
"Pathogenic","D-Xylose","Growth at 37°C",46,0.911
"Pathogenic","L-Arabinose","Growth at 25°C",41,0.767
