"Isolation","Trait_A","Trait_B","Observed_PN","Percent_PN"
"Pathogenic","Glucose_F","Galactose_F",37,0.409
"Pathogenic","Glucose_F","Sucrose_F",38,0.369
"Pathogenic","Glucose_F","Maltose_F",46,0.521
"Pathogenic","Glucose_F","Lactose_F",67,0.742
"Pathogenic","Glucose_F","Raffinose_F",48,0.538
"Pathogenic","Glucose_F","Trehalose_F",37,0.383
"Pathogenic","Glucose_F","Glucose",0,1
"Pathogenic","Glucose_F","Inulin",57,0.718
"Pathogenic","Glucose_F","Sucrose",24,0.654
"Pathogenic","Glucose_F","Raffinose",41,0.701
"Pathogenic","Glucose_F","Melibiose",57,0.791
"Pathogenic","Glucose_F","Galactose",24,0.887
"Pathogenic","Glucose_F","Lactose",56,0.673
"Pathogenic","Glucose_F","Trehalose",18,0.602
"Pathogenic","Glucose_F","Maltose",25,0.65
"Pathogenic","Glucose_F","Melezitose",27,0.436
"Pathogenic","Glucose_F","Methyl-?-D-glucoside",28,0.529
"Pathogenic","Glucose_F","Soluble Starch",42,0.577
"Pathogenic","Glucose_F","Cellobiose",25,0.758
"Pathogenic","Glucose_F","Salicin",26,0.807
"Pathogenic","Glucose_F","L-Sorbose",34,0.94
"Pathogenic","Glucose_F","L-Rhamnose",45,0.611
"Pathogenic","Glucose_F","D-Xylose",20,0.792
"Pathogenic","Glucose_F","L-Arabinose",35,0.663
"Pathogenic","Glucose_F","D-Arabinose",45,0.802
"Pathogenic","Glucose_F","D-Ribose",33,0.684
"Pathogenic","Glucose_F","Methanol",65,0.79
"Pathogenic","Glucose_F","Ethanol",6,0.367
"Pathogenic","Glucose_F","Glycerol",9,0.818
"Pathogenic","Glucose_F","Erythritol",48,0.857
"Pathogenic","Glucose_F","Ribitol",27,0.872
"Pathogenic","Glucose_F","Galactitol",55,0.766
"Pathogenic","Glucose_F","D-Mannitol",17,0.898
"Pathogenic","Glucose_F","D-Glucitol",16,0.858
"Pathogenic","Glucose_F","myo-Inositol",64,0.892
"Pathogenic","Glucose_F","DL-Lactate",35,0.839
"Pathogenic","Glucose_F","Succinate",9,0.578
"Pathogenic","Glucose_F","Citrate",19,0.596
"Pathogenic","Glucose_F","D-Gluconate",18,0.373
"Pathogenic","Glucose_F","D-Glucosamine",35,0.583
"Pathogenic","Glucose_F","Nitrate",57,0.755
"Pathogenic","Glucose_F","Vitamin-free",54,0.811
"Pathogenic","Glucose_F","2-Keto-D-gluconate",31,0.601
